ANY;CODI_ALUMNE;PCAT;PCAT_CL;PCAT_EE;PCAST;PCAST_CL;PCAST_EE;PMAT;PANG;PANG_CO;PANG_CE;PCAT_CO;PCAST_CO;GENERE
2023;23616168111;7420;8182;6667;7820;8864;6111;7310;9308;9333;9583;6667;8333;D
2023;4459275505;8800;9545;7222;9020;9318;8889;8690;9117;8667;9167;10000;8333;H
2023;4459297058;4390;4773;3333;4370;5000;2222;7700;5517;2667;6667;5556;7292;H
2023;4459455486;7920;7727;7778;7840;7727;7778;7520;7758;8000;7917;8889;8333;D
2023;4459477039;6070;6136;6667;7490;7045;7778;7200;6667;6667;6667;4444;8333;H
2023;4459488260;7900;8864;6111;7790;8409;6667;8010;8683;9333;8333;8889;8333;D
2023;4459500481;8620;8409;8333;8940;9545;8333;9470;10000;10000;10000;10000;8333;D
2023;4459511702;5360;4545;5000;5920;5909;4444;5810;8225;9333;7917;8889;9375;D
2023;4459556697;9180;9091;9444;8100;8636;7222;10000;9308;9333;9583;8889;8333;H
2023;4459567029;8770;9091;7778;8320;9545;6111;9680;10000;10000;10000;10000;9375;H
2023;4459578251;9220;10000;7778;8910;9091;8889;9610;9092;8000;9583;10000;8333;D
2023;4460073201;9770;9545;10000;9710;10000;9444;9150;10000;10000;10000;10000;9375;D
2023;4460096644;9460;9318;9444;9210;9773;8333;9680;10000;10000;10000;10000;9375;H
2023;4460107865;9200;8409;10000;8260;8182;8333;9220;9350;9333;9167;10000;8333;D
2023;4460118197;8490;9318;6667;8750;8864;8333;6740;10000;10000;10000;10000;9375;D
2023;4460816563;4050;4091;3333;2980;1818;2778;7590;4592;4667;5417;5556;7292;H
2023;4460827784;7810;7955;6667;7570;7273;7222;8940;9350;9333;9167;10000;9375;H
2023;4460838117;8180;8636;7222;7900;9091;5556;9150;9117;8667;9167;8889;9375;H
2023;4460849338;3520;4091;2778;4050;3182;3889;2160;4050;1333;4167;3333;7292;D
2023;4460861559;5460;6136;4444;5490;5682;4444;4780;6375;6667;7083;5556;7292;D
2023;4460872780;7820;8636;6667;7830;8409;7222;7950;8725;9333;7917;7778;7292;H
2023;4460883112;9420;10000;8333;8720;8409;8889;8520;9325;8667;9583;10000;9375;H
2023;4460894333;6970;7045;5556;7900;9091;5556;8520;7958;6667;8750;10000;9375;H
2023;4460906545;8430;8409;7778;7840;7727;7778;7480;8242;8667;7917;10000;8333;D
2023;4463009091;7070;7955;5000;6980;7727;6667;3900;6417;6667;6667;8889;5208;H
2023;4463043754;6020;7045;3333;6830;7273;5556;6100;6208;6667;6250;8889;8333;H
2023;4463077529;8050;9545;5556;7290;7727;6667;3860;8075;8667;7083;8889;7292;H
2023;4463335281;8990;9545;7778;8220;8182;7778;6980;10000;10000;10000;10000;9375;D
2023;4463347502;;;;6300;6136;6111;6880;8017;9333;7500;;7292;H
2023;4463358723;5270;3864;6667;4850;3864;6111;3540;5342;4667;5417;6667;5208;D
2023;4463369055;6770;6591;6111;7120;6364;7222;8440;6958;6667;6250;8889;9375;H
2023;4463380276;8050;9545;5556;8710;9091;8333;8050;8633;8000;9167;8889;8333;H
2023;4463392497;9810;10000;9444;9140;9091;10000;7410;10000;10000;10000;10000;7292;D
2023;4463403718;9500;9773;8889;9750;10000;10000;8900;10000;10000;10000;10000;8333;D
2023;4463425271;5710;6364;3889;5080;4545;4444;9040;6233;7333;5833;7778;8333;D
2023;4463437493;7980;8636;6667;7830;8182;6667;6950;8700;8667;8333;8889;9375;D
2023;4463459046;7420;8182;6667;6600;6818;5556;8230;8683;9333;8333;6667;8333;D
2023;4463470267;8630;9091;8333;7830;8409;7222;6450;8842;8000;9583;7778;7292;D
2023;4463493709;4190;4773;2778;7530;7045;8333;7440;8850;9333;9167;5556;7292;H
2023;4463504041;5280;5000;5556;6380;6364;5556;5850;5792;6667;5417;5556;8333;D
2023;4463527483;7820;8636;6667;7830;8182;6667;9610;9100;9333;9167;7778;9375;H
2023;4463538705;6930;8409;4444;5620;4773;6111;5500;7758;8000;7917;7778;7292;H
2023;4468071869;6540;6364;7222;7640;7727;7222;8230;6442;4000;7083;5556;8333;D
2023;4468082201;6010;6136;5556;4780;3864;5000;4010;5450;5333;4167;6667;7292;H
2023;4468093422;8850;8864;8333;9260;9091;9444;7490;9350;9333;9167;10000;9375;D
2023;4468105643;6730;6136;6667;5040;4773;4444;4960;7817;7333;7500;8889;7292;H
2023;4468127196;3960;3864;3889;2220;2727;1111;6160;5300;4667;5833;4444;3125;H
2023;4468138417;2800;2273;3333;3930;3182;4444;3980;3675;4667;2083;3333;5208;D
2023;4468150629;9460;9318;9444;8910;9091;8889;9570;10000;10000;10000;10000;8333;H
2023;4468543368;9430;8864;10000;9020;9545;9444;9290;9517;9333;10000;10000;6250;H
2023;4468555589;9040;8864;8889;7640;7727;7222;8020;8158;8667;8750;10000;8333;D
2023;4468566810;6860;7500;5556;7860;8636;6111;9080;9117;8667;9167;7778;9375;H
2023;4468577142;7270;6818;7222;7830;8182;6667;5700;7983;7333;8333;8889;9375;D
2023;4468825554;8030;7955;7778;5770;5000;6667;6490;8242;8667;7917;8889;6250;H
2023;4468836775;7150;8182;4444;7730;9545;4444;5360;8025;7333;7917;10000;9375;H
2023;4468847107;7680;9091;6111;8900;9545;7778;8550;9092;8000;9583;6667;9375;D
2023;4468858328;9250;10000;8333;9290;9545;8889;7410;9350;9333;9167;8889;9375;D
2023;4468870550;7480;7955;6667;8840;8636;8889;8830;6908;5333;7083;7778;9375;D
2023;4468881772;6720;7273;5000;6530;6364;5556;8120;8258;8000;7917;8889;9375;D
2023;4468903325;8040;8409;6667;7980;8409;7222;9290;7817;7333;7500;10000;8333;H
2023;4468915546;8230;7955;8333;9020;9318;8889;6630;8933;9333;8333;8889;8333;D
2023;4469038313;6010;5682;6667;4660;3864;5556;4640;5000;3333;6667;5556;5208;D
2023;4469286734;8460;8864;7222;8020;8182;7222;8620;8208;6667;8750;10000;9375;D
2023;4469297057;5190;4545;5000;4740;3864;4444;7370;4775;4000;3750;7778;8333;H
2023;4469308278;6670;7955;3889;7380;6818;7778;8760;7358;7333;7083;8889;8333;D
2023;4469376717;7590;8182;6667;7960;7273;8333;7020;8025;7333;7917;7778;9375;D
2023;4469387050;8650;8409;8889;8740;10000;6667;10000;8408;8667;8750;8889;9375;D
2023;4469398271;5370;5682;3889;4280;3182;5000;6100;9308;9333;9583;7778;6250;D
2023;4469421713;8440;9545;6667;8710;9545;7222;6060;7317;7333;7500;8889;9375;D
2023;4469432046;6230;6136;6667;4430;3182;5000;6810;6225;6000;6250;5556;7292;H
2023;4469443267;6680;6364;6667;6770;6364;6667;7280;8267;9333;7500;7778;8333;D
2023;4469477041;3160;4091;2222;3310;3182;2222;1810;4917;3333;5000;2222;6250;D
2023;4469488262;8620;8409;8333;6680;6591;6111;5650;7825;8667;7083;10000;8333;H
2023;4469500483;8210;8636;7778;8740;9545;7778;8010;9350;9333;9167;7778;8333;H
2023;4469511705;8850;8864;8333;8900;9545;7778;8160;9350;9333;9167;10000;9375;D
2023;4469522037;7300;7273;6667;4810;4318;4444;6030;5817;7333;5000;8889;7292;H
2023;4469533258;9460;9318;9444;9640;9773;10000;9400;10000;10000;10000;10000;8333;H
2023;4469556701;8690;9318;7222;9360;10000;8889;7940;8850;9333;9167;10000;8333;D
2023;4469567033;4630;4545;3889;4150;3864;2778;3830;4092;4667;2917;6667;8333;H
2023;4469578254;9810;10000;9444;9480;9545;9444;9180;9558;9333;9583;10000;9375;H
2023;4469590475;7210;8636;4444;4860;3636;5556;7830;6533;8667;5000;8889;7292;D
2023;4469601696;6980;7955;6667;5140;5455;5556;8940;7750;6667;8333;4444;3125;D
2023;4469612028;6550;7273;5000;8930;10000;7222;8550;8383;8000;9167;7778;9375;H
2023;4470613136;5000;4773;5556;6990;6818;6667;5820;8008;8000;7917;4444;8333;D
2023;4470624357;9380;9545;8889;8650;8182;9444;8440;9533;8667;10000;10000;8333;D
2023;4470636578;7200;8182;5556;7160;9091;3889;5400;5925;4667;7083;7778;8333;H
2023;4470737791;5900;5909;5556;6340;5909;6111;7060;5358;4000;5417;6667;8333;H
2023;4470748123;5320;4091;5556;6330;7045;4444;7660;8233;7333;8333;8889;8333;H
2023;4470759344;8990;9545;7778;8290;8636;7778;8690;9325;8667;9583;10000;8333;H
2023;4470771565;5220;5227;5556;2780;1818;2222;5310;6917;6667;6667;4444;7292;D
2023;4470782786;7150;8409;5556;8480;9091;7222;7840;7133;8000;6667;6667;9375;H
2023;4470793118;7200;8182;5556;5360;6591;2778;8940;7825;8667;7083;7778;7292;D
2023;4470816560;8200;7955;7778;7060;7727;5556;9680;7967;8000;8333;10000;8333;H
2023;4470928104;7700;7727;6667;7760;7500;8333;8860;7958;6667;8750;10000;7292;D
2023;4470951546;7010;8636;3889;7710;8636;6111;6490;6233;4000;6667;8889;8333;H
2023;4470962767;8880;9318;7778;8400;8864;7778;6390;8675;8000;8750;10000;8333;D
2023;4470973099;7620;8182;7222;6940;7727;6111;5700;7342;8000;7083;6667;6250;D
2023;4471007763;3340;2727;2778;6880;9091;4444;2520;6417;6667;6667;6667;5208;D
2023;4471029316;8930;8636;8889;8640;8636;8333;8230;9558;9333;9583;10000;9375;D
